Month,Hyundai,Renault,Tata,Toyota,Industry_Total,Renault_share_pct,Tata_share_pct,Toyota_share_pct,Hyundai_share_pct
2012-10-01,35350,6790,21119,12281,230830,2.9415587228696443,9.149157388554348,5.32036563704891,15.31430056751722
2012-11-01,34472,6607,18031,10352,212343,3.1114753017523538,8.49145015376066,4.875131273458508,16.23411179082899
2012-12-01,26536,5924,14185,12071,191394,3.0951858469962485,7.411413105948984,6.306885273310553,13.86459345643019
2013-01-01,37330,4914,15209,13329,255931,1.9200487631431908,5.942617346081561,5.2080443557052485,14.58596262273816
2013-02-01,37803,6723,10613,12756,217373,3.092840417163125,4.882391097330395,5.868254106995809,17.390844309090824
2013-03-01,37936,8232,12347,19452,247451,3.326719229261551,4.989674723480608,7.860950248736113,15.330711938929323
2013-04-01,36647,6314,11570,9007,203941,3.095993449085765,5.673209408603468,4.416473391814299,17.96941272230694
2013-05-01,36356,6300,11134,10023,197605,3.1881784367804458,5.634472811922775,5.07224007489689,18.398319880569826
2013-06-01,35317,6007,11804,11010,192235,3.12482118240695,6.1404010716050665,5.727364943948813,18.371784534554063
2013-07-01,25963,3763,10824,11515,176164,2.1360777457369267,6.144274653164097,6.5365227855861585,14.737971435707637
2013-08-01,28311,4733,11564,12007,181413,2.608964076444356,6.3744053623499966,6.618599549095158,15.605827586777131
2013-09-01,30600,4822,12839,12015,207171,2.32754584377157,6.197295953584237,5.7995568877883485,14.770407055041487
2013-10-01,36002,5403,14133,13162,228535,2.3641892926685193,6.184173102588225,5.759292887303914,15.753385695845276
2013-11-01,33501,4044,10376,10208,194651,2.0775644615234445,5.330565987331172,5.2442576714221865,17.21080292420794
2013-12-01,28345,4113,9272,10648,180515,2.278481012658228,5.1364152563498875,5.898678780156773,15.70229620807135
2014-01-01,33405,3304,10974,10910,213104,1.5504166979502967,5.149598318192057,5.119566033485998,15.675444853217208
2014-02-01,34005,4101,11325,10100,213659,1.9194136451073909,5.300502202107095,4.727158696801913,15.915547671757333
2014-03-01,35003,5464,12640,8206,232324,2.3518878807183072,5.440677674282467,3.5321361546805328,15.066458910831425
2014-04-01,35248,3333,7441,7562,183288,1.8184496530051066,4.059731133516651,4.12574745755314,19.230937104447644
2014-05-01,36205,3650,9230,11806,203463,1.79393796415073,4.536451344961983,5.802529206784525,17.794390134815664
2014-06-01,33514,4277,7911,12010,212904,2.0088866343516325,3.715759215421035,5.641040093187541,15.741367001089692
2014-07-01,29260,3015,9119,11921,193919,1.5547728690845146,4.702478870043678,6.147412063799834,15.08877417890975
2014-08-01,33750,3235,10975,11215,208956,1.5481728210723789,5.25230192002144,5.367158636267923,16.151725722161604
2014-09-01,35041,3563,12931,12552,219504,1.6232050440994243,5.891008819884831,5.718346818281216,15.96371820103506
2014-10-01,38010,3750,11511,12556,216808,1.7296409726578355,5.309305929670492,5.791299214051142,17.53164089885982
2014-11-01,35511,3201,12021,12170,208926,1.5321214209815917,5.753711840555987,5.825028957621359,16.996927141667385
2014-12-01,32504,3956,12040,11740,206081,1.9196335421509017,5.84236295437231,5.696789126605558,15.772438992435015
2015-01-01,34780,3203,13047,14822,229297,1.3968782844956542,5.6900003052809245,6.464105505087289,15.1681007601495
2015-02-01,37305,3419,13767,13540,229352,1.490721685444208,6.002563744811469,5.903589242736056,16.26539118908926
2015-03-01,39525,4353,15039,15394,241582,1.80187265607537,6.225215454793817,6.3721634890016645,16.36090437201447
2015-04-01,38701,4001,10230,14422,216366,1.8491814795300556,4.728099608995868,6.6655574350868445,17.88682140447205
2015-05-01,37450,3601,11138,13076,215261,1.6728529552496734,5.174183897686993,6.074486321256521,17.39748491366295
2015-06-01,36300,4340,10281,12113,215207,2.016663026760282,4.777260962701027,5.628534387821958,16.867481076359038
2015-07-01,36503,1686,10389,12067,218924,0.7701302735195776,4.745482450530778,5.511958487877071,16.673822879172683
2015-08-01,40505,1528,11194,11161,218794,0.6983738128102234,5.116228050129346,5.1011453696170825,18.5128477014909
2015-09-01,42505,1781,11776,11376,228715,0.7786983800800122,5.14876593139934,4.9738757842730035,18.584264259012308
2015-10-01,47015,7396,12798,12403,264712,2.7939798724651697,4.83468826498232,4.685469491371755,17.76081175012844
2015-11-01,43651,7819,10517,10278,233544,3.347977254821361,4.5032199499880115,4.400883773507347,18.690696399821874
2015-12-01,41861,10292,8068,10446,227929,4.515441211956355,3.5396987658437498,4.583006111552282,18.36580689600709
2016-01-01,38016,8031,10709,8511,227954,3.5230792177369117,4.6978776419804,3.7336480167051245,16.67704887828246
2016-02-01,40716,8834,10962,10312,230159,3.8382161896775706,4.762794416034133,4.480380954036123,17.69037925955535
2016-03-01,41201,12424,8454,6638,248144,5.006770262428267,3.406892771938874,2.675059642788059,16.603665613514735
2016-04-01,42351,12426,10495,8529,238590,5.208097573242801,4.39875937801249,3.5747516660379732,17.75053438953854
2016-05-01,41351,8343,8617,12614,229367,3.6374020674290546,3.7568612747256576,5.4994833607275675,18.02831270409431
2016-06-01,39806,11837,12509,13567,219272,5.398318070706702,5.704786748878106,6.1872924951658215,18.15370863584954
2016-07-01,41201,11968,13578,12404,255769,4.679222266967459,5.308696519124679,4.849688586185191,16.108676188279265
2016-08-01,43201,12972,13024,12801,255606,5.074998239477947,5.095342049873634,5.0080984014459755,16.901402940463058
2016-09-01,42605,12143,14620,12067,274797,4.418898314028173,5.320290978431351,4.39124153466013,15.504172170729666
2016-10-01,50016,12409,16412,11651,277188,4.476745025037159,5.920891236272855,4.2032844134666725,18.044071171912204
2016-11-01,40016,9604,12736,11309,239099,4.016746201364288,5.326663850538898,4.729839940777669,16.736163681152995
2016-12-01,40057,11244,10846,12747,225185,4.99322779048338,4.816484224082421,5.660678997268912,17.788485023425185
2017-01-01,42517,8787,12906,10336,262738,3.3443963187662233,4.912117775121985,3.933957021824022,16.182280446680725
2017-02-01,42327,11190,12272,11543,251912,4.442027374638763,4.871542443392931,4.582155673409762,16.802296039886944
2017-03-01,44757,12188,15438,13796,278128,4.382154979002474,5.550681700511994,4.960306046137031,16.092230915262036
2017-04-01,44758,9545,12827,12964,274564,3.476420798065296,4.671770516163809,4.721667807869932,16.301481621771245
2017-05-01,42007,8639,10864,10914,248154,3.4813059632325087,4.377926610088896,4.398075388669938,16.927794837076977
2017-06-01,37562,6840,11176,1973,195031,3.5071347631914924,5.7303710692146375,1.011634047920587,19.259502335526147
2017-07-01,43007,8961,14933,17758,294499,3.042794712375933,5.07064540117284,6.029901629547129,14.603445172988701
2017-08-01,47103,9585,30340,12017,305595,3.1365041967309675,9.928172908588163,3.9323287357450223,15.413537525155844
2017-09-01,50028,10874,17286,12335,306352,3.5495116728469207,5.642528855695409,4.026414059643808,16.330234501488484
2017-10-01,49588,9305,16475,12403,277116,3.3577996218190216,5.945163758137387,4.475743010147375,17.89431140749722
2017-11-01,44008,7800,17157,12734,271579,2.8720924666487466,6.317498775678532,4.688875060295531,16.20449298362539
2017-12-01,40198,8763,14180,10793,236026,3.712726564022608,6.007812698601002,4.572801301551524,17.0311745316194
2018-01-01,45508,6919,19542,12351,280701,2.464900374419756,6.961856209988565,4.4000555751493575,16.21226857047178
2018-02-01,44505,7305,17680,11864,270412,2.7014333683416414,6.538171382926793,4.387379258316939,16.458219309793947
2018-03-01,48009,7683,20006,12539,294465,2.6091386073047733,6.794016266788923,4.258231029154568,16.303805206051653
2018-04-01,46735,7422,17235,13037,294483,2.520349222196188,5.852629863183953,4.427080680378833,15.870186054882623
2018-05-01,45008,6732,17489,13113,297257,2.2647069707357605,5.883461112774468,4.4113342999492025,15.141106853665349
2018-06-01,45371,6636,18213,13088,268735,2.4693471263512383,6.777308500939587,4.870225314901297,16.883174874876737
2018-07-01,43481,6217,17079,13677,284635,2.1842008185922324,6.000316194424438,4.805101270047605,15.276055298891563
